CPU_Core_1_Usage_%,CPU_Core_2_Usage_%,CPU_Core_3_Usage_%,CPU_Core_4_Usage_%,CPU_Core_5_Usage_%,CPU_Core_6_Usage_%,CPU_Core_7_Usage_%,CPU_Core_8_Usage_%,CPU_Core_1_Freq_MHz,CPU_Core_2_Freq_MHz,CPU_Core_3_Freq_MHz,CPU_Core_4_Freq_MHz,CPU_Core_5_Freq_MHz,CPU_Core_6_Freq_MHz,CPU_Core_7_Freq_MHz,CPU_Core_8_Freq_MHz,GPU_Usage_%,GPU_Freq_MHz,GPU_mW,CPU_mW,SOC_mW,CV_mW,VDDRQ_mW,SYS5V_mW,Total_Power_mW,,
100,100,0,0,0,0,0,0,1186,1186,0,0,0,0,0,0,5,522,778,934,1401,0,467,2849,6429,,
100,100,0,0,0,0,0,0,1186,1187,0,0,0,0,0,0,23,522,778,934,1401,0,467,2849,6429,,
100,100,0,0,0,0,0,0,1186,1183,0,0,0,0,0,0,14,522,778,934,1401,0,467,2849,6429,,"6432,79909706546"
100,100,0,0,0,0,0,0,1186,1187,0,0,0,0,0,0,11,522,934,934,1401,0,467,2849,6585,,
100,100,0,0,0,0,0,0,1186,1186,0,0,0,0,0,0,17,522,778,934,1401,0,467,2849,6429,,
100,100,0,0,0,0,0,0,1184,1188,0,0,0,0,0,0,12,522,934,934,1401,0,467,2889,6625,,
100,100,0,0,0,0,0,0,1186,1186,0,0,0,0,0,0,98,522,778,934,1401,0,467,2849,6429,,
100,100,0,0,0,0,0,0,1186,1186,0,0,0,0,0,0,6,522,778,934,1401,0,467,2849,6429,,
100,100,0,0,0,0,0,0,1186,1185,0,0,0,0,0,0,31,522,778,934,1401,0,467,2849,6429,,
100,100,0,0,0,0,0,0,1187,1186,0,0,0,0,0,0,15,522,778,934,1401,0,467,2849,6429,,
100,100,0,0,0,0,0,0,1187,1187,0,0,0,0,0,0,5,522,778,934,1401,0,467,2849,6429,,
100,100,0,0,0,0,0,0,1186,1187,0,0,0,0,0,0,14,522,778,934,1401,0,467,2889,6469,,
100,100,0,0,0,0,0,0,1186,1187,0,0,0,0,0,0,16,522,778,934,1401,0,467,2889,6469,,
100,100,0,0,0,0,0,0,1187,1187,0,0,0,0,0,0,5,522,778,934,1401,0,467,2889,6469,,
100,100,0,0,0,0,0,0,1187,1186,0,0,0,0,0,0,89,522,934,934,1401,0,467,2889,6625,,
100,100,0,0,0,0,0,0,1184,1185,0,0,0,0,0,0,11,522,934,934,1401,0,467,2849,6585,,
100,100,0,0,0,0,0,0,1185,1185,0,0,0,0,0,0,19,522,934,934,1401,0,467,2889,6625,,
100,100,0,0,0,0,0,0,1186,1185,0,0,0,0,0,0,98,522,934,934,1401,0,467,2889,6625,,
100,100,0,0,0,0,0,0,1186,1186,0,0,0,0,0,0,2,522,778,934,1401,0,467,2929,6509,,
100,100,0,0,0,0,0,0,1185,1185,0,0,0,0,0,0,19,522,934,934,1401,0,467,2889,6625,,
